0001001EM1200903.csv,1,BT3800(ZZZZ)00.00.00,,âÒòH1R,âÒòH1T,âÒòH2R,âÒòH2T,âÒòH3R,âÒòH3T,âÒòH4R,âÒòH4T,âÒòH5R,âÒòH5T,âÒòH6R,âÒòH6T,âÒòH7R,âÒòH7T,âÒòH8R,âÒòH8T,âÒòH9R,âÒòH9T,âÒòH10R,âÒòH10T,âÒòH11R,âÒòH11T,âÒòH12R,âÒòH12T,âÒòH13R,âÒòH13T,âÒòH14R,âÒòH14T,âÒòH15R,âÒòH15T,âÒòH16R,âÒòH16T
2013,8,2,5,0.26,0.27,0.01,0.59,0.29,0.67,0.77,0.58,0.62,0.29,0.38,0.59,0.65,0.59,0.65,0.65,0.26,0.27,0.01,0.59,0.29,0.67,0.77,0.58,0.62,0.29,0.38,0.59,0.65,0.59,0.65,0.65
2013,8,2,6,0.25,0.28,0.03,0.72,0.26,0.73,0.52,0.56,0.72,0.4,0.33,0.73,0.54,0.72,0.55,0.73,0.25,0.28,0.03,0.72,0.26,0.73,0.52,0.56,0.72,0.4,0.33,0.73,0.54,0.72,0.55,0.73
2013,8,2,7,0.22,0.24,0.03,0.67,0.24,0.6,0.53,0.47,0.48,0.29,0.36,0.62,0.6,0.45,0.5,0.66,0.22,0.24,0.03,0.67,0.24,0.6,0.53,0.47,0.48,0.29,0.36,0.62,0.6,0.45,0.5,0.66
2013,8,2,8,0.71,0.76,0.05,1.98,0.75,1.84,1.94,3.05,1.91,0.93,1.25,1.78,1.91,1.65,2.03,1.46,0.71,0.76,0.05,1.98,0.75,1.84,1.94,3.05,1.91,0.93,1.25,1.78,1.91,1.65,2.03,1.46
2013,8,2,9,0.34,0.36,0.03,0.99,0.37,0.72,0.85,1.24,0.77,0.45,0.65,0.8,0.99,0.71,0.88,0.72,0.34,0.36,0.03,0.99,0.37,0.72,0.85,1.24,0.77,0.45,0.65,0.8,0.99,0.71,0.88,0.72
2013,8,2,10,0.36,0.39,0.03,0.79,0.37,0.73,0.77,1.49,0.97,0.56,0.61,0.86,0.73,0.76,0.91,0.89,0.36,0.39,0.03,0.79,0.37,0.73,0.77,1.49,0.97,0.56,0.61,0.86,0.73,0.76,0.91,0.89
2013,8,2,11,0.26,0.27,0.01,0.72,0.27,0.57,0.63,0.87,0.74,0.51,0.5,0.65,0.65,0.64,0.77,0.62,0.26,0.27,0.01,0.72,0.27,0.57,0.63,0.87,0.74,0.51,0.5,0.65,0.65,0.64,0.77,0.62
2013,8,2,12,0.125,0.13,0.005,0.275,0.13,0.315,0.36,0.42,0.365,0.25,0.145,0.345,0.285,0.305,0.27,0.255,0.125,0.13,0.005,0.275,0.13,0.315,0.36,0.42,0.365,0.25,0.145,0.345,0.285,0.305,0.27,0.255
2013,8,2,13,0.43,0.46,0.03,1.16,0.45,1.12,1.12,1.64,0.87,0.79,0.58,0.91,1.14,1.12,1.01,0.9,0.43,0.46,0.03,1.16,0.45,1.12,1.12,1.64,0.87,0.79,0.58,0.91,1.14,1.12,1.01,0.9
2013,8,2,14,0.44,0.45,0.01,0.89,0.48,0.95,1.33,1.94,1.12,0.75,0.54,0.97,0.93,1.29,1.01,1.14,0.44,0.45,0.01,0.89,0.48,0.95,1.33,1.94,1.12,0.75,0.54,0.97,0.93,1.29,1.01,1.14
2013,8,2,15,0.62,0.65,0.03,1.73,0.63,1.33,1.38,2.02,1.32,1.11,0.66,1.29,1.68,1.43,1.62,1.83,0.62,0.65,0.03,1.73,0.63,1.33,1.38,2.02,1.32,1.11,0.66,1.29,1.68,1.43,1.62,1.83
2013,8,2,16,0.24,0.25,0.01,0.75,0.25,0.68,0.57,0.98,0.62,0.53,0.28,0.66,0.67,0.63,0.52,0.68,0.24,0.25,0.01,0.75,0.25,0.68,0.57,0.98,0.62,0.53,0.28,0.66,0.67,0.63,0.52,0.68
2013,8,2,17,0.28,0.29,0.01,0.72,0.3,0.81,0.73,1.24,0.64,0.33,0.42,0.72,0.84,0.64,0.81,0.66,0.28,0.29,0.01,0.72,0.3,0.81,0.73,1.24,0.64,0.33,0.42,0.72,0.84,0.64,0.81,0.66
2013,8,2,18,0.29,0.32,0.04,0.68,0.32,0.85,0.78,1.01,0.84,0.38,0.53,0.77,0.85,0.67,0.72,0.81,0.29,0.32,0.04,0.68,0.32,0.85,0.78,1.01,0.84,0.38,0.53,0.77,0.85,0.67,0.72,0.81
2013,8,2,19,0.28,0.3,0.02,0.6,0.31,0.76,0.61,0.92,0.67,0.39,0.38,0.78,0.78,0.82,0.64,0.58,0.28,0.3,0.02,0.6,0.31,0.76,0.61,0.92,0.67,0.39,0.38,0.78,0.78,0.82,0.64,0.58
2013,8,2,20,0.25,0.27,0.02,0.54,0.27,0.51,0.7,1.05,0.67,0.5,0.28,0.57,0.54,0.53,0.75,0.64,0.25,0.27,0.02,0.54,0.27,0.51,0.7,1.05,0.67,0.5,0.28,0.57,0.54,0.53,0.75,0.64
2013,8,2,21,0.49,0.5,0.01,1.46,0.51,1.12,1.34,1.65,1.08,0.59,0.75,1.36,1.03,1.15,1.16,1.37,0.49,0.5,0.01,1.46,0.51,1.12,1.34,1.65,1.08,0.59,0.75,1.36,1.03,1.15,1.16,1.37
2013,8,2,22,0.35,0.36,0.01,0.76,0.38,0.88,0.92,1.5,1.01,0.43,0.62,0.86,0.82,0.96,1.05,0.86,0.35,0.36,0.01,0.76,0.38,0.88,0.92,1.5,1.01,0.43,0.62,0.86,0.82,0.96,1.05,0.86
2013,8,2,23,0.25,0.27,0.02,0.77,0.27,0.52,0.7,1.02,0.62,0.5,0.31,0.53,0.54,0.61,0.66,0.62,0.25,0.27,0.02,0.77,0.27,0.52,0.7,1.02,0.62,0.5,0.31,0.53,0.54,0.61,0.66,0.62
2013,8,2,24,0.26,0.28,0.02,0.61,0.27,0.62,0.81,0.94,0.68,0.44,0.44,0.64,0.73,0.61,0.62,0.65,0.26,0.28,0.02,0.61,0.27,0.62,0.81,0.94,0.68,0.44,0.44,0.64,0.73,0.61,0.62,0.65
2013,8,3,1,0.22,0.24,0.02,0.55,0.23,0.59,0.51,0.83,0.52,0.35,0.24,0.64,0.49,0.63,0.61,0.65,0.22,0.24,0.02,0.55,0.23,0.59,0.51,0.83,0.52,0.35,0.24,0.64,0.49,0.63,0.61,0.65
2013,8,3,2,0.26,0.28,0.02,0.8,0.29,0.66,0.68,0.99,0.77,0.47,0.34,0.55,0.77,0.62,0.72,0.76,0.26,0.28,0.02,0.8,0.29,0.66,0.68,0.99,0.77,0.47,0.34,0.55,0.77,0.62,0.72,0.76
2013,8,3,3,0.27,0.28,0.01,0.79,0.29,0.76,0.66,0.78,0.73,0.44,0.47,0.65,0.72,0.77,0.69,0.74,0.27,0.28,0.01,0.79,0.29,0.76,0.66,0.78,0.73,0.44,0.47,0.65,0.72,0.77,0.69,0.74
2013,8,3,4,0.57,0.6,0.03,1.25,0.58,1.55,1.49,1.69,1.3,0.72,0.92,1.52,1.31,1.2,1.19,1.52,0.57,0.6,0.03,1.25,0.58,1.55,1.49,1.69,1.3,0.72,0.92,1.52,1.31,1.2,1.19,1.52
2013,8,3,5,0.39,0.41,0.02,1.04,0.43,0.83,1.07,0.95,1.07,0.7,0.49,1.13,1.01,1.13,0.82,1.1,0.39,0.41,0.02,1.04,0.43,0.83,1.07,0.95,1.07,0.7,0.49,1.13,1.01,1.13,0.82,1.1
2013,8,3,6,0.26,0.27,0.01,0.65,0.29,0.62,0.8,0.54,0.53,0.3,0.29,0.55,0.71,0.61,0.75,0.63,0.26,0.27,0.01,0.65,0.29,0.62,0.8,0.54,0.53,0.3,0.29,0.55,0.71,0.61,0.75,0.63
2013,8,3,7,0.25,0.28,0.03,0.77,0.27,0.53,0.52,0.59,0.65,0.4,0.41,0.75,0.64,0.75,0.63,0.67,0.25,0.28,0.03,0.77,0.27,0.53,0.52,0.59,0.65,0.4,0.41,0.75,0.64,0.75,0.63,0.67
2013,8,3,8,0.31,0.34,0.03,0.86,0.33,0.89,0.94,1.07,0.7,0.41,0.4,0.67,0.77,0.71,0.9,0.74,0.31,0.34,0.03,0.86,0.33,0.89,0.94,1.07,0.7,0.41,0.4,0.67,0.77,0.71,0.9,0.74
2013,8,3,9,0.31,0.34,0.03,0.86,0.34,0.66,0.81,1.42,0.79,0.48,0.58,0.71,0.92,0.79,0.92,0.87,0.31,0.34,0.03,0.86,0.34,0.66,0.81,1.42,0.79,0.48,0.58,0.71,0.92,0.79,0.92,0.87
2013,8,3,10,0.49,0.5,0.01,1.19,0.51,1.41,1.17,1.63,1.43,0.55,0.74,1.43,1.4,1.4,1.09,1.3,0.49,0.5,0.01,1.19,0.51,1.41,1.17,1.63,1.43,0.55,0.74,1.43,1.4,1.4,1.09,1.3
2013,8,3,11,0.4,0.44,0.04,0.88,0.42,0.95,0.91,1.66,0.95,0.52,0.8,0.94,1,0.88,1.19,0.87,0.4,0.44,0.04,0.88,0.42,0.95,0.91,1.66,0.95,0.52,0.8,0.94,1,0.88,1.19,0.87
2013,8,3,12,0.15,0.165,0.015,0.385,0.165,0.4,0.365,0.54,0.425,0.19,0.29,0.45,0.305,0.41,0.415,0.42,0.15,0.165,0.015,0.385,0.165,0.4,0.365,0.54,0.425,0.19,0.29,0.45,0.305,0.41,0.415,0.42
2013,8,3,13,0.31,0.34,0.03,0.72,0.33,0.78,0.68,1.31,0.68,0.54,0.38,0.72,0.89,0.87,0.72,0.77,0.31,0.34,0.03,0.72,0.33,0.78,0.68,1.31,0.68,0.54,0.38,0.72,0.89,0.87,0.72,0.77
2013,8,3,14,0.26,0.29,0.03,0.71,0.28,0.78,0.56,0.87,0.55,0.33,0.42,0.71,0.56,0.61,0.74,0.75,0.26,0.29,0.03,0.71,0.28,0.78,0.56,0.87,0.55,0.33,0.42,0.71,0.56,0.61,0.74,0.75
2013,8,3,15,0.31,0.32,0.01,0.94,0.32,0.73,0.95,1.22,0.81,0.36,0.35,0.88,0.84,0.85,0.73,0.71,0.31,0.32,0.01,0.94,0.32,0.73,0.95,1.22,0.81,0.36,0.35,0.88,0.84,0.85,0.73,0.71
2013,8,3,16,0.29,0.3,0.01,0.64,0.31,0.75,0.63,0.97,0.65,0.58,0.33,0.8,0.65,0.86,0.67,0.69,0.29,0.3,0.01,0.64,0.31,0.75,0.63,0.97,0.65,0.58,0.33,0.8,0.65,0.86,0.67,0.69
2013,8,3,17,0.74,0.76,0.02,1.96,0.77,2.16,1.81,2.88,1.57,0.96,0.83,1.66,2.1,1.64,2.16,1.5,0.74,0.76,0.02,1.96,0.77,2.16,1.81,2.88,1.57,0.96,0.83,1.66,2.1,1.64,2.16,1.5
2013,8,3,18,0.44,0.45,0.01,1.18,0.49,0.93,1.04,1.44,1.26,0.69,0.72,0.98,1.27,0.97,0.94,1.14,0.44,0.45,0.01,1.18,0.49,0.93,1.04,1.44,1.26,0.69,0.72,0.98,1.27,0.97,0.94,1.14
2013,8,3,19,0.28,0.3,0.02,0.75,0.3,0.78,0.65,1.13,0.59,0.55,0.33,0.82,0.7,0.81,0.65,0.7,0.28,0.3,0.02,0.75,0.3,0.78,0.65,1.13,0.59,0.55,0.33,0.82,0.7,0.81,0.65,0.7
2013,8,3,20,0.26,0.27,0.01,0.74,0.28,0.63,0.59,0.95,0.66,0.38,0.51,0.65,0.53,0.66,0.58,0.58,0.26,0.27,0.01,0.74,0.28,0.63,0.59,0.95,0.66,0.38,0.51,0.65,0.53,0.66,0.58,0.58
2013,8,3,21,0.25,0.28,0.03,0.69,0.26,0.61,0.7,0.86,0.59,0.4,0.37,0.53,0.72,0.67,0.61,0.62,0.25,0.28,0.03,0.69,0.26,0.61,0.7,0.86,0.59,0.4,0.37,0.53,0.72,0.67,0.61,0.62
2013,8,3,22,0.2,0.21,0.01,0.54,0.21,0.58,0.48,0.76,0.58,0.36,0.26,0.47,0.59,0.42,0.45,0.6,0.2,0.21,0.01,0.54,0.21,0.58,0.48,0.76,0.58,0.36,0.26,0.47,0.59,0.42,0.45,0.6
2013,8,3,23,0.25,0.28,0.03,0.81,0.26,0.68,0.72,0.84,0.73,0.26,0.35,0.71,0.64,0.74,0.66,0.63,0.25,0.28,0.03,0.81,0.26,0.68,0.72,0.84,0.73,0.26,0.35,0.71,0.64,0.74,0.66,0.63
2013,8,3,24,0.59,0.64,0.05,1.58,0.6,1.7,1.51,2.29,1.19,1.15,1.14,1.54,1.7,1.5,1.56,1.43,0.59,0.64,0.05,1.58,0.6,1.7,1.51,2.29,1.19,1.15,1.14,1.54,1.7,1.5,1.56,1.43
2013,8,4,1,0.25,0.27,0.02,0.65,0.26,0.59,0.63,1.03,0.71,0.47,0.42,0.66,0.67,0.63,0.64,0.67,0.25,0.27,0.02,0.65,0.26,0.59,0.63,1.03,0.71,0.47,0.42,0.66,0.67,0.63,0.64,0.67
2013,8,4,2,0.2,0.22,0.02,0.61,0.22,0.54,0.57,0.83,0.6,0.28,0.29,0.5,0.5,0.54,0.46,0.53,0.2,0.22,0.02,0.61,0.22,0.54,0.57,0.83,0.6,0.28,0.29,0.5,0.5,0.54,0.46,0.53
2013,8,4,3,0.25,0.26,0.01,0.66,0.26,0.54,0.67,0.59,0.63,0.28,0.47,0.7,0.54,0.72,0.53,0.63,0.25,0.26,0.01,0.66,0.26,0.54,0.67,0.59,0.63,0.28,0.47,0.7,0.54,0.72,0.53,0.63
2013,8,4,4,0.29,0.32,0.03,0.81,0.31,0.84,0.63,0.65,0.79,0.58,0.51,0.8,0.76,0.65,0.85,0.59,0.29,0.32,0.03,0.81,0.31,0.84,0.63,0.65,0.79,0.58,0.51,0.8,0.76,0.65,0.85,0.59
2013,8,4,5,0.19,0.2,0.01,0.58,0.2,0.5,0.45,0.39,0.56,0.25,0.23,0.56,0.55,0.4,0.44,0.53,0.19,0.2,0.01,0.58,0.2,0.5,0.45,0.39,0.56,0.25,0.23,0.56,0.55,0.4,0.44,0.53
2013,8,4,6,0.43,0.45,0.03,1.06,0.48,1.13,1.12,0.92,1.07,0.67,0.44,0.91,0.94,1.09,0.98,1.27,0.43,0.45,0.03,1.06,0.48,1.13,1.12,0.92,1.07,0.67,0.44,0.91,0.94,1.09,0.98,1.27
2013,8,4,7,0.4,0.42,0.02,1.1,0.42,1.19,1,0.9,1.08,0.66,0.44,0.9,1.19,0.86,1.09,0.97,0.4,0.42,0.02,1.1,0.42,1.19,1,0.9,1.08,0.66,0.44,0.9,1.19,0.86,1.09,0.97
2013,8,4,8,0.28,0.31,0.03,0.81,0.31,0.71,0.65,0.97,0.74,0.44,0.56,0.64,0.8,0.81,0.58,0.71,0.28,0.31,0.03,0.81,0.31,0.71,0.65,0.97,0.74,0.44,0.56,0.64,0.8,0.81,0.58,0.71
2013,8,4,9,0.42,0.45,0.03,1.03,0.43,0.92,0.92,1.4,1.08,0.92,0.56,0.9,0.95,1.08,1.01,1.15,0.42,0.45,0.03,1.03,0.43,0.92,0.92,1.4,1.08,0.92,0.56,0.9,0.95,1.08,1.01,1.15
2013,8,4,10,0.4,0.44,0.04,1.3,0.44,1.04,0.82,1.67,0.89,0.46,0.75,0.87,0.88,0.83,1.06,0.99,0.4,0.44,0.04,1.3,0.44,1.04,0.82,1.67,0.89,0.46,0.75,0.87,0.88,0.83,1.06,0.99
2013,8,4,11,0.27,0.3,0.03,0.62,0.29,0.64,0.61,1.28,0.8,0.58,0.33,0.74,0.6,0.76,0.73,0.7,0.27,0.3,0.03,0.62,0.29,0.64,0.61,1.28,0.8,0.58,0.33,0.74,0.6,0.76,0.73,0.7
2013,8,4,12,0.205,0.215,0.01,0.435,0.22,0.455,0.62,0.68,0.51,0.35,0.36,0.565,0.52,0.56,0.53,0.45,0.205,0.215,0.01,0.435,0.22,0.455,0.62,0.68,0.51,0.35,0.36,0.565,0.52,0.56,0.53,0.45
2013,8,4,13,0.53,0.58,0.05,1.31,0.57,1.15,1.56,1.85,1.43,0.96,1.03,1.28,1.28,1.29,1.44,1.49,0.53,0.58,0.05,1.31,0.57,1.15,1.56,1.85,1.43,0.96,1.03,1.28,1.28,1.29,1.44,1.49
2013,8,4,14,0.28,0.29,0.01,0.69,0.31,0.62,0.65,1.07,0.81,0.44,0.55,0.75,0.7,0.83,0.58,0.77,0.28,0.29,0.01,0.69,0.31,0.62,0.65,1.07,0.81,0.44,0.55,0.75,0.7,0.83,0.58,0.77
2013,8,4,15,0.29,0.3,0.01,0.67,0.32,0.8,0.64,1.15,0.59,0.5,0.39,0.6,0.85,0.71,0.7,0.65,0.29,0.3,0.01,0.67,0.32,0.8,0.64,1.15,0.59,0.5,0.39,0.6,0.85,0.71,0.7,0.65
2013,8,4,16,0.31,0.33,0.03,0.86,0.32,0.78,0.67,1.26,0.65,0.55,0.6,0.74,0.79,0.74,0.67,0.9,0.31,0.33,0.03,0.86,0.32,0.78,0.67,1.26,0.65,0.55,0.6,0.74,0.79,0.74,0.67,0.9
2013,8,4,17,0.27,0.3,0.03,0.78,0.28,0.67,0.84,1.1,0.8,0.37,0.44,0.69,0.57,0.64,0.7,0.67,0.27,0.3,0.03,0.78,0.28,0.67,0.84,1.1,0.8,0.37,0.44,0.69,0.57,0.64,0.7,0.67
2013,8,4,18,0.41,0.43,0.02,1.09,0.45,1.06,0.98,1.59,1.19,0.53,0.44,0.95,1.01,0.86,1.01,1.08,0.41,0.43,0.02,1.09,0.45,1.06,0.98,1.59,1.19,0.53,0.44,0.95,1.01,0.86,1.01,1.08
2013,8,4,19,0.54,0.57,0.03,1.53,0.55,1.29,1.17,2.34,1.6,1,1.02,1.45,1.53,1.54,1.31,1.14,0.54,0.57,0.03,1.53,0.55,1.29,1.17,2.34,1.6,1,1.02,1.45,1.53,1.54,1.31,1.14
2013,8,4,20,0.2,0.22,0.02,0.58,0.21,0.57,0.55,0.69,0.46,0.36,0.39,0.42,0.58,0.55,0.48,0.59,0.2,0.22,0.02,0.58,0.21,0.57,0.55,0.69,0.46,0.36,0.39,0.42,0.58,0.55,0.48,0.59
2013,8,4,21,0.26,0.29,0.03,0.68,0.27,0.73,0.55,1.2,0.63,0.5,0.41,0.55,0.6,0.71,0.67,0.67,0.26,0.29,0.03,0.68,0.27,0.73,0.55,1.2,0.63,0.5,0.41,0.55,0.6,0.71,0.67,0.67
2013,8,4,22,0.26,0.28,0.03,0.71,0.29,0.69,0.67,1.11,0.65,0.33,0.49,0.78,0.7,0.67,0.54,0.6,0.26,0.28,0.03,0.71,0.29,0.69,0.67,1.11,0.65,0.33,0.49,0.78,0.7,0.67,0.54,0.6
